100

H 5.643 0.970796 2.5349
H 0.792264 9.3282 4.12208
H 9.61215 0.103734 8.34643
H 8.74476 7.16915 0.647566
H 8.04953 6.25714 7.31806
H 6.18893 0.838312 5.99142
H 1.50177 5.33254 5.21474
H 3.99035 3.82546 6.78733
H 9.39885 5.12561 7.89851
H 0.638181 7.29612 0.684529
H 3.18107 9.80859 5.38028
H 1.2313 1.96091 4.48389
H 3.14879 2.81431 5.6044
100

H 5.67212 0.544353 0.739831
H 4.10324 2.43813 0.456755
H 8.0964 9.99638 6.42817
H 8.88735 0.360802 5.28335
H 8.91406 3.85627 2.60857
H 4.45406 2.69738 5.27431
H 5.78562 8.3559 5.24756
H 3.8257 4.93652 9.88982
H 3.17026 8.00538 0.650339
H 8.26492 0.426437 0.801842
H 5.55028 0.238669 9.09893
H 7.87841 0.0173188 2.37962
H 1.354 3.02913 0.484656
H 2.5649 5.15981 6.19024
H 8.02199 6.56824 0.0671836
H 2.34182 4.01857 3.69246
H 8.8537 2.56092 7.44419
H 0.979512 4.20065 3.22425
H 7.68199 8.23082 9.67537
H 4.42658 3.49258 8.69056
H 4.41966 4.51388 5.93031
H 2.22303 6.09555 1.41776
H 0.0720008 7.63404 6.57057
H 9.30212 0.303535 3.63443
H 9.96243 9.77585 6.37586
H 0.58136 6.08523 4.39462
H 1.07293 9.61499 2.98934
H 7.33692 1.2817 1.18056
H 4.85193 2.64963 7.99595
H 0.639631 3.74756 8.53548
H 5.69457 2.37109 0.901787
H 3.47161 3.91468 3.57791
H 3.20887 1.67051 8.92254
H 4.69416 0.0569154 1.38423
H 9.83152 8.88079 5.81578
H 9.70325 3.9336 8.35833
H 3.58324 6.99035 0.823578
H 4.58041 4.3651 2.97415
H 2.41487 2.59693 0.656005
H 3.38059 0.868488 3.43759
H 3.58734 6.36265 9.18117
H 6.13248 4.91593 9.6276
H 0.495758 7.82077 5.60534
H 2.61953 0.00775015 1.6624
H 1.30644 8.77117 2.96067
H 4.52493 3.10421 3.12991
H 0.548097 9.31783 1.59468
H 7.34029 6.71612 8.20084
H 3.97072 5.27592 5.20683
H 3.0451 4.26319 8.0586
H 2.44927 2.65316 1.9084
H 0.894775 8.28894 6.22308
H 4.42518 5.27341 4.0656
H 5.96643 6.22421 8.83544
H 8.59572 1.3065 6.83254
H 9.20783 8.16303 3.65576
H 5.86589 9.52196 2.90684
H 8.51716 2.31637 5.45449
H 1.90921 7.50821 5.4443
H 6.75394 6.60413 7.12273
H 4.34792 0.0788411 9.97802
H 7.77933 3.18681 6.99962
H 7.2101 5.64566 5.29957
H 6.40738 1.51518 0.609579
H 8.54935 5.33211 4.96779
H 7.93231 4.54069 1.64557
H 8.0668 2.84869 8.09802
H 2.08086 0.355486 3.6406
H 4.90469 1.8012 0.278013
H 7.635 5.81576 1.54294
H 4.36468 1.43146 8.1798
H 2.15659 8.26152 6.20429
H 7.96684 5.22149 7.11382
H 4.52952 3.74151 1.74935
H 9.93157 6.65395 6.1631
H 7.77253 1.8778 6.34323
H 0.712702 6.28295 7.26151
H 1.45226 1.52109 2.16768
H 3.89654 3.59856 5.49233
H 8.55747 8.15863 2.45298
H 2.11304 8.62201 9.60544
H 6.31206 0.585003 3.38021
H 2.3266 6.52773 5.40894
H 5.37223 2.53761 5.78214
H 1.96826 8.62219 4.95618
H 4.98209 6.73501 2.33632
H 0.199562 3.88112 5.47873
H 5.64324 0.970525 2.5349
H 0.767922 9.35492 4.17644
H 9.61213 0.103746 8.34631
H 8.10179 6.02052 9.50597
H 8.04852 6.26341 7.31988
H 6.18898 0.838434 5.99147
H 1.5021 5.33331 5.21488
H 3.9904 3.82578 6.78562
H 9.38498 5.17734 7.87835
H 0.638209 7.29616 0.68456
H 3.12644 9.7332 5.29269
H 1.23241 1.96467 4.48372
H 3.14858 2.81308 5.60447
100

H 5.67135 0.545543 0.739919
H 4.09513 2.44394 0.458172
H 8.0469 9.93171 6.45611
H 8.92109 0.364368 5.22298
H 8.91374 3.85662 2.60841
H 4.44781 2.697 5.27076
H 5.78563 8.35591 5.24756
H 3.82567 4.93683 9.88954
H 3.16972 8.00612 0.649949
H 3.01431 0.593395 5.69579
H 5.54974 0.238706 9.09958
H 7.87848 0.0174137 2.37953
H 1.35491 3.02875 0.484898
H 2.56463 5.16015 6.18937
H 8.01229 6.63301 0.133555
H 2.34155 4.01863 3.69221
